ICAO,FIR,Country,SEQ,latitude,longitude
WSJC,FIR SINGAPORE,Singapore,1,7,103
WSJC,FIR SINGAPORE,Singapore,2,7,108
WSJC,FIR SINGAPORE,Singapore,3,10.5,114
WSJC,FIR SINGAPORE,Singapore,4,8.416666667,116.5
WSJC,FIR SINGAPORE,Singapore,5,2.25,108.5
WSJC,FIR SINGAPORE,Singapore,6,1,108.5
WSJC,FIR SINGAPORE,Singapore,7,1,108.9
WSJC,FIR SINGAPORE,Singapore,8,0.812222222,108.8444444
WSJC,FIR SINGAPORE,Singapore,9,0.585,108.9294444
WSJC,FIR SINGAPORE,Singapore,10,0.301111111,108.9266667
WSJC,FIR SINGAPORE,Singapore,11,0.25,109
WSJC,FIR SINGAPORE,Singapore,12,0,109
WSJC,FIR SINGAPORE,Singapore,13,0,108
WSJC,FIR SINGAPORE,Singapore,14,-0.833333333,106
WSJC,FIR SINGAPORE,Singapore,15,0,105.1666667
WSJC,FIR SINGAPORE,Singapore,16,0,104.7666667
WSJC,FIR SINGAPORE,Singapore,17,-0.173711674,104.4553017
WSJC,FIR SINGAPORE,Singapore,18,-0.276594853,104.113858
WSJC,FIR SINGAPORE,Singapore,19,-0.304414604,103.7583374
WSJC,FIR SINGAPORE,Singapore,20,-0.255894957,103.4050463
WSJC,FIR SINGAPORE,Singapore,21,-0.133261296,103.0701885
WSJC,FIR SINGAPORE,Singapore,22,0.057861713,102.7691224
WSJC,FIR SINGAPORE,Singapore,23,0.308708093,102.5156567
WSJC,FIR SINGAPORE,Singapore,24,0.607772622,102.3214167
WSJC,FIR SINGAPORE,Singapore,25,0.941338522,102.1953114
WSJC,FIR SINGAPORE,Singapore,26,1.294106588,102.1431245
WSJC,FIR SINGAPORE,Singapore,27,1.65,102.1666667
WSJC,FIR SINGAPORE,Singapore,28,1.216666667,103.5
WSJC,FIR SINGAPORE,Singapore,29,1.283333333,103.6
WSJC,FIR SINGAPORE,Singapore,30,1.324444444,103.6194444
WSJC,FIR SINGAPORE,Singapore,31,1.343611111,103.6294444
WSJC,FIR SINGAPORE,Singapore,32,1.434722222,103.6833333
WSJC,FIR SINGAPORE,Singapore,33,1.444444444,103.6944444
WSJC,FIR SINGAPORE,Singapore,34,1.459722222,103.7222222
WSJC,FIR SINGAPORE,Singapore,35,1.45,103.7444444
WSJC,FIR SINGAPORE,Singapore,36,1.447222222,103.7611111
WSJC,FIR SINGAPORE,Singapore,37,1.477777778,103.8097222
WSJC,FIR SINGAPORE,Singapore,38,1.416666667,103.8333333
WSJC,FIR SINGAPORE,Singapore,39,1.456944444,103.8555556
WSJC,FIR SINGAPORE,Singapore,40,1.425,103.9
WSJC,FIR SINGAPORE,Singapore,41,1.430555556,103.9319444
WSJC,FIR SINGAPORE,Singapore,42,1.423611111,103.9638889
WSJC,FIR SINGAPORE,Singapore,43,1.425,104
WSJC,FIR SINGAPORE,Singapore,44,1.438888889,104.0388889
WSJC,FIR SINGAPORE,Singapore,45,1.441666667,104.0511111
WSJC,FIR SINGAPORE,Singapore,46,1.413888889,104.0944444
WSJC,FIR SINGAPORE,Singapore,47,1.370833333,104.075
WSJC,FIR SINGAPORE,Singapore,48,1.355555556,104.0777778
WSJC,FIR SINGAPORE,Singapore,49,1.333333333,104.3333333
WSJC,FIR SINGAPORE,Singapore,50,2.6,104.75
WSJC,FIR SINGAPORE,Singapore,51,3.666666667,103.6666667
WSJC,FIR SINGAPORE,Singapore,52,4.833333333,103.7333333
WSJC,FIR SINGAPORE,Singapore,53,6.75,102.6666667
